Product(original_price=249.0, new_price=109.0, offer_percentage=0, item_name='Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android', item_link='https://minutes.noon.com/saudi-en/now-product/Z56097769725A2D6A2179Z-1')
Product(original_price=31.7, new_price=19.0, offer_percentage=0, item_name='Original Moisturizing Petroleum Jelly For Dry Skin', item_link='https://minutes.noon.com/saudi-en/now-product/ZE29684E51B099BC60731Z-1')
Product(original_price=25.75, new_price=15.45, offer_percentage=0, item_name='Safawi Dates Pouch', item_link='https://minutes.noon.com/saudi-en/now-product/Z2B9B678DA0AA02DE647AZ-1')
Product(original_price=48.45, new_price=23.95, offer_percentage=0, item_name='Hyper Easy Liquid Eyeliner', item_link='https://minutes.noon.com/saudi-en/now-product/Z6B6A78E956F7ED9672F5Z-1')
Product(original_price=27.0, new_price=16.2, offer_percentage=0, item_name='Fresh Natural Deodorant for Women Ocean Extracts Spray', item_link='https://minutes.noon.com/saudi-en/now-product/Z936C65BD04DE26392018Z-1')
Product(original_price=14.0, new_price=7.0, offer_percentage=0, item_name='Gentle Baby Shampoo With Hibiscus And Chickpea', item_link='https://minutes.noon.com/saudi-en/now-product/Z6D03EC06FEC91E4C9E76Z-1')
Product(original_price=11.0, new_price=6.0, offer_percentage=0, item_name='Tomato Ketchup Regular Plastic', item_link='https://minutes.noon.com/saudi-en/now-product/ZD2A3AEBC7A435DAF6B90Z-1')
Product(original_price=2.3, new_price=1.0, offer_percentage=0, item_name='All Purpose Flour', item_link='https://minutes.noon.com/saudi-en/now-product/Z33BD110DE905CC4792F1Z-1')
Product(original_price=4.6, new_price=2.5, offer_percentage=0, item_name='Vineger Brown', item_link='https://minutes.noon.com/saudi-en/now-product/Z92E68732052895FA05AFZ-1')
Product(original_price=58.0, new_price=18.05, offer_percentage=0, item_name='Electric Kitchen Scale', item_link='https://minutes.noon.com/saudi-en/now-product/Z107240DE882C6FBB86A3Z-1')
Product(original_price=27.25, new_price=16.35, offer_percentage=0, item_name='Whitewater Deodorant Body Spray For Freshness', item_link='https://minutes.noon.com/saudi-en/now-product/Z1E40B3CF75CE2323C259Z-1')
